,TransactionID,ProductID,Quantity,TransactionDate,CustomerID,ProductName,Price,Line_item_price
0,3671,10,2,2023-06-12,100000107,Denim Dream Shirt,1950000,3900000
1,1357,10,2,2023-07-24,100000224,Denim Dream Shirt,1950000,3900000
2,3606,10,1,2023-08-05,100000685,Denim Dream Shirt,1950000,1950000
3,1621,10,2,2023-07-25,100001926,Denim Dream Shirt,1950000,3900000
4,101,10,2,2023-08-12,100000729,Denim Dream Shirt,1950000,3900000
5,101,10,1,2023-08-12,100000729,Denim Dream Shirt,1950000,1950000
6,3666,10,1,2023-08-11,100000018,Denim Dream Shirt,1950000,1950000
7,4236,10,1,2023-06-03,100000935,Denim Dream Shirt,1950000,1950000
8,3461,10,1,2023-08-15,100000104,Denim Dream Shirt,1950000,1950000
9,506,10,1,2023-06-21,100001815,Denim Dream Shirt,1950000,1950000
10,1130,10,2,2023-08-04,100000137,Denim Dream Shirt,1950000,3900000
11,3303,10,1,2023-06-21,100001960,Denim Dream Shirt,1950000,1950000
12,2150,10,2,2023-06-04,100001070,Denim Dream Shirt,1950000,3900000
13,3937,10,2,2023-07-16,100001783,Denim Dream Shirt,1950000,3900000
14,2927,10,1,2023-06-30,100000453,Denim Dream Shirt,1950000,1950000
15,2461,10,2,2023-06-18,100000385,Denim Dream Shirt,1950000,3900000
16,1712,10,1,2023-06-18,100000161,Denim Dream Shirt,1950000,1950000
17,4007,10,1,2023-08-07,100001080,Denim Dream Shirt,1950000,1950000
18,2886,10,1,2023-08-25,100000850,Denim Dream Shirt,1950000,1950000
19,828,10,2,2023-06-25,100001209,Denim Dream Shirt,1950000,3900000
20,2025,10,2,2023-07-22,100000130,Denim Dream Shirt,1950000,3900000
21,3736,10,2,2023-07-08,100001404,Denim Dream Shirt,1950000,3900000
22,1358,10,2,2023-08-17,100000531,Denim Dream Shirt,1950000,3900000
23,4379,10,1,2023-06-26,100001585,Denim Dream Shirt,1950000,1950000
24,3320,10,2,2023-07-17,100000127,Denim Dream Shirt,1950000,3900000
25,4363,10,1,2023-07-24,100001960,Denim Dream Shirt,1950000,1950000
26,2776,10,2,2023-06-15,100001035,Denim Dream Shirt,1950000,3900000
27,1401,10,2,2023-07-06,100001604,Denim Dream Shirt,1950000,3900000
28,4134,10,1,2023-06-17,100001810,Denim Dream Shirt,1950000,1950000
29,212,10,1,2023-08-25,100000540,Denim Dream Shirt,1950000,1950000
30,2748,10,1,2023-08-07,100001390,Denim Dream Shirt,1950000,1950000
